ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	CONCEPT_TYPE	FORM	TOKENS	OCCURRENCES	WORD_FORMS	GLOSS_FORMS	PHRASE_EXAMPLE	GLOSS_EXAMPLE	REFERENCES	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	CROSSID
317	Qiang	1sg	1sg	lexicon	qɑ	q ɑ	111	qɑ	1sg	ʂkup-te:-wu maha qɑ dzə lɑ:,”	orangutan-DEF:CL-AGT night 1sg eat come:PRS	74:2:0 76:0:0 76:3:0 80:1:0 89:1:0 90:1:0 95:1:0 104:0:0 109:1:0 111:0:0 115:1:0 124:2:0 127:1:0 132:0:0 146:0:0 147:3:0 149:0:0 154:0:0 155:1:0 166:0:0 169:2:0 175:0:0 176:1:0 193:1:0 276:2:0 277:0:0 283:0:0 285:0:0 340:0:0 342:0:0 344:0:0 348:0:0 352:0:0 353:0:0 354:0:0 390:3:0 407:0:0 412:1:0 413:0:0 419:0:0 424:0:0 425:1:0 428:1:0 429:0:0 437:5:0 442:0:0 451:1:0 469:0:0 594:0:0 618:4:0 619:1:0 632:0:0 647:1:0 675:0:0 676:0:0 677:0:0 693:0:0 703:0:0 707:0:0 710:1:0 712:0:0 713:1:0 714:1:0 715:0:0 716:1:0 738:3:0 753:0:0 758:0:0 759:2:0 775:0:0 776:0:0 779:1:0 780:0:0 835:0:0 846:3:0 849:0:0 851:0:0 853:1:0 854:0:0 858:0:0 892:0:0 896:0:0 897:0:0 901:2:0 902:7:0 909:2:0 924:0:0 929:2:0 949:0:0 952:0:0 954:1:0 956:0:0 960:2:0 961:2:0 972:2:0 988:0:0 991:0:0 994:2:0 1010:0:0 1011:2:0 1014:1:0 1031:4:0 1051:1:0 1115:0:0 1123:3:0 1125:3:0 1131:2:0 1132:0:0 1135:3:0 1144:0:0 1253:0:0	1 7	AX	KA	1	1.K.C 1.A.V	2.0 1.5	qɑ	1	10
318	Qiang	1sg	1sg	lexicon	ɑ	ɑ	17	qu-ɑ-wɑ,”	afraid-1sg-EMPH	“qɑ tɕəu-lɑ o-zů-ȵi qɑ ou-stu je qu-ɑ-wɑ,”	1sg home-LOC DIR-sit-ADV 1sg one:CL-alone live/stay afraid-1sg-EMPH	76:6:1 111:3:1 126:4:1 149:1:1 194:2:2 413:4:2 416:2:2 429:4:2 432:1:2 463:4:2 780:4:2 984:4:2 991:3:2 995:2:2 996:9:2 1144:3:2 1254:2:3	7	X	A	1	1.A.V	1.5	ɑ	1	11
319	Qiang	1sg	1sg:PRS	lexicon	ɑ:	ɑː	6	zu-lu-ɑ:-wɑ,”	DIR-come-1sg:PRS-EMPH	maha-ȵi-ŋuəȵi qɑ ʔũ-gul zu-lu-ɑ:-wɑ,”	night-ADV-TOP 1sg 2sg-companion DIR-come-1sg:PRS-EMPH	80:3:2 95:4:2 97:1:2 115:3:2 155:3:2 175:2:2	7	X	A	1	1.A.V	1.5	ɑː	0	11
320	Qiang	1sg	COP:1sg	lexicon	ŋuɑ	ŋ u ɑ	3	ŋuɑ-ʂə,	COP:1sg-LNK	ep-ew me-ʐi ɦɑ-kou ŋuɑ-ʂə,	father-mother NEG-exist INT-INDEF:one:CL COP:1sg-LNK	107:3:0 125:2:1 707:3:1	4 7 7	AXZ	NYA	1	1.N.C 1.Y.V 1.A.V	2.0 1.5 0.8	ŋuɑ	0	13
321	Qiang	1sg	INDTV:1sg	lexicon	lɑ	l ɑ	6	i-jə-lɑ-wɑ,”	DIR-live-INDTV:1sg-EMPH	ʔũ-gul i-jə-lɑ-wɑ,”	2sg-companion DIR-live-INDTV:1sg-EMPH	133:1:2 154:2:2 176:3:2 285:2:2 649:1:2 1010:3:2	5 7	AX	LA	1	1.L.C 1.A.V	2.0 1.5	lɑ	1	14
322	Qiang	1sg	CSM:1sg	lexicon	ja	j a/ɑ	1	mo-qu-ja-wɑ	NEG-afraid-CSM:1sg-EMPH	ɦɑ-kə mo-qu-ja-wɑ ike ʐi-kəi.”	INT-thus NEG-afraid-CSM:1sg-EMPH thus exist-NAR	195:1:2	6 7	AX	JA	1	1.J.C 1.A.V	2.0 1.5	ja/ɑ	0	15
323	Qiang	1sg	CAUS:1sg	lexicon	ʐɑ	ʐ ɑ	1	da-g-ʐɑ-wɑ,”	DIR-broken-CAUS:1sg-EMPH	qɑ-wu ʔũ-jɑpə-le: da-g-ʐɑ-wɑ,”	1sg-AGT 2sg-hand-DEF:CL DIR-broken-CAUS:1sg-EMPH	277:2:2	3 7	AX	SA	1	1.S.C 1.A.V	2.0 1.5	ʐɑ	0	16
324	Qiang	1sg	REP:1sg	lexicon	ja	j a/ɑ	1	dɑ-ʁə-ja,	DIR-go-REP:1sg	ɦɑ-thu-ŋuəȵi “qhuɑ: dɑ-ʁə-ja,	DIR-there-TOP river.valley DIR-go-REP:1sg	488:2:2	6 7	AX	JA	1	1.J.C 1.A.V	2.0 1.5	ja/ɑ	1	15
325	Qiang	1sg	1sg	lexicon	guo	g u o	2	guo	1sg	tʂekə pefutsə məʴ ke guo zuo χɑu sə,”	†(this white.beard cat give 1sg do good thing)	613:4:0 768:3:0	1 7 7	AXZ	KYU	1	1.K.C 1.Y.V 1.U.V	2.0 1.5 0.8	guo	0	10
326	Qiang	1sg	CSM:1sg	lexicon	jɑ	j ɑ	1	u-tɕu-jɑ-ȵi	DIR-see-CSM:1sg-ADV	u-tɕu-jɑ-ȵi ɑ-phɑu qhu-ʂɑ.”	DIR-see-CSM:1sg-ADV one-shot shoot-HORT	803:0:2	6 7	AX	JA	1	1.J.C 1.A.V	2.0 1.5	jɑ	0	15
327	Qiang	1sg	ASP:1sg	lexicon	jya	j y a/ɑ	1	mɑ-lə-jya,	NEG-able-ASP:1sg	qɑ-ŋuəȵi fɑntʂənʂə ʐmətʂi tsoqpi jəpɑ-q-tɑ-ŋuəȵi do-χlu mɑ-lə-jya,	1sg-TOP †(anyway.is) emperor this:family hand-top-LOC-TOP DIR-escape NEG-able-ASP:1sg	851:6:2	6 7 7	AXZ	JYA	1	1.J.C 1.Y.V 1.A.V	2.0 1.5 0.8	jya/ɑ	0	15
328	Qiang	1sg	ASP:1sg	lexicon	jyɑ	j y ɑ	1	mɑ-l-jyɑ.”	NEG-able-ASP:1sg	qɑ-ŋuəȵi tsoqpi jəpɑ-q ɦɑ-mə-ʁə-ʂə mɑ-l-jyɑ.”	1sg-TOP this:family hand-top DIR-NEG-go-LNK NEG-able-ASP:1sg	858:4:2	6 7 7	AXZ	JYA	1	1.J.C 1.Y.V 1.A.V	2.0 1.5 0.8	jyɑ	0	15
329	Qiang	1sg	VIS:1sg	lexicon	ŋuɑ121	ŋ u ɑ	1	ŋuə-ŋuɑ,”121	COP-VIS:1sg	“qɑ-ep tshəntitɕhin ŋuə-ŋuɑ,”121 jə-ji.	1sg-father Chen.Diqing COP-VIS:1sg say-CSM	952:2:1	4 7 7	AXZ	NYA	1	1.N.C 1.Y.V 1.A.V	2.0 1.5 0.8	ŋuɑ	1	13
144	Qiang	2dl	2dl	lexicon	ʔizzi	ʔ i dz i	1	“ʔizzi	2dl	“ʔizzi zəpəq-tɑ ɦa-ʁa-i-ta ɦɑ-ʁə-i.”	2dl earth-LOC DIR-go-2pl-if DIR-go-2pl	28:0:0	1 7 2 7	AXBZ	HICI	1	1.H.C 1.I.V 1.C.C 1.I.V	2.0 1.5 1.75 0.8	ʔidzi	0	17
158	Qiang	2pl	2pl	lexicon	i	i	6	ɦa-ʁa-i-ta	DIR-go-2pl-if	“ʔizzi zəpəq-tɑ ɦa-ʁa-i-ta ɦɑ-ʁə-i.”	2dl earth-LOC DIR-go-2pl-if DIR-go-2pl	28:2:2 28:3:2 1082:2:1 1182:3:1 1208:2:2 1210:2:2	7	X	I	1	1.I.V	1.5	i	1	18
159	Qiang	2pl	2pl	lexicon	ʔile	ʔ i l e	8	“ʔile	2pl	“ʔile gue:ʴ-tɑ-ŋuəȵi hɑ-l-ȵi mutu-lɑ tɕe-tse-ʂu.”	2pl road-LOC-TOP DIR-look-ADV heaven-LOC NEG.IMP-look-DTV	39:0:0 422:0:0 426:1:0 431:1:0 1082:0:0 1144:1:0 1182:0:0 1208:0:0	1 7 5 7	AXBZ	HILE	1	1.H.C 1.I.V 1.L.C 1.E.V	2.0 1.5 1.75 0.8	ʔile	0	19
160	Qiang	2pl	2pl	lexicon	tɕile	tɕ i l e	1	tɕile	2pl	tɕile pəmaha tse: qəta:-wa,”	2pl tonight this:CL beat.to.death:PRS-EMPH	202:0:0	2 7 5 7	AXBZ	CILE	1	1.C.C 1.I.V 1.L.C 1.E.V	2.0 1.5 1.75 0.8	tɕile	0	19
161	Qiang	2pl	2pl	lexicon	ji	j i	1	pɑ:-ji-ŋuɑ?”	buy:PRS-2pl-Q	gantsə pɑ:-ji-ŋuɑ?”	saddle buy:PRS-2pl-Q	1087:1:1	6 7	AX	JI	1	1.J.C 1.I.V	2.0 1.5	ji	1	21
162	Qiang	2pl	2pl	lexicon	j	j	1	tɕhɑnpi-pɑ:-j-jə-ʂ	†shoot-do:PRS-2pl-say-LNK	ʔile-wu tɕile tɕhɑnpi-pɑ:-j-jə-ʂ qətia:-i ji,	2pl-AGT 1pl †shoot-do:PRS-2pl-say-LNK kill:PRS-2pl say	1182:2:2	6	A	J	1	1.J.C	2.0	j	0	21
955	Qiang	2plREFL	2plREFL	lexicon	ʔileile	ʔ i l e i l e	1	ʔileile	2plREFL	ɦɑ-tse:-ŋuəȵi ʔileile i-tse-i-wɑ,”	INT-this:CL-TOP 2plREFL DIR-look-2pl-DTV	1210:1:0	1 7 5 7 7 5 7	AXBYYBZ	HILEILE	1	1.H.C 1.I.V 1.L.C 1.E.V 1.I.V 1.L.C 1.E.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	ʔileile	0	22
338	Qiang	2sg	2sg	lexicon	ʔũ	ʔ u �	39	ʔũ-gul	2sg-companion	maha-ȵi-ŋuəȵi qɑ ʔũ-gul zu-lu-ɑ:-wɑ,”	night-ADV-TOP 1sg 2sg-companion DIR-come-1sg:PRS-EMPH	80:2:0 86:2:0 95:2:0 97:0:0 102:1:0 115:2:0 122:0:0 133:0:0 141:0:0 154:1:0 155:2:0 162:0:0 175:1:0 176:2:0 276:0:0 277:1:0 284:0:0 343:0:0 759:0:0 776:1:0 829:0:0 850:0:0 857:1:0 881:0:0 944:0:0 946:0:0 950:0:0 954:0:0 960:0:0 961:0:0 972:0:0 987:0:0 994:0:0 1009:0:0 1013:0:0 1015:0:0 1131:0:0 1135:1:0 1161:0:0	1 7 0	AXN	HY0	1	1.H.C 1.Y.V 1.0.c	2.0 1.5 0.8	ʔu�	0	23
339	Qiang	2sg	2sg	lexicon	n	n	41	kə-zei-n-ɑ?”	thus-cry-2sg-Q	ȵi-χuɑ-ȵi kə-zei-n-ɑ?”	WH-because-ADV thus-cry-2sg-Q	87:1:2 102:3:2 122:2:2 141:2:2 143:1:2 162:2:2 197:1:2 198:0:3 290:1:2 340:2:1 343:1:3 351:0:3 352:1:2 353:3:2 354:1:2 419:3:2 530:1:2 538:1:1 650:2:2 692:1:2 711:2:2 776:2:2 850:1:2 857:4:2 905:3:2 907:2:2 944:2:1 946:2:1 988:2:2 1009:2:2 1013:2:2 1015:1:2 1031:3:2 1031:5:2 1051:8:1 1051:12:2 1052:2:3 1053:1:1 1054:0:2 1055:3:1 1056:2:2	4	A	N	1	1.N.C	2.0	n	0	24
340	Qiang	2sg	2sg	lexicon	ən	ə n	1	tə-bəl-ən-ʂə,”	DIR-do-2sg-LNK	hi qɑ-tɕ χɑusə tə-bəl-ən-ʂə,”	EXCL 1sg-GEN †good.thing DIR-do-2sg-LNK	619:3:2	7 4	XN	EN	1	1.E.V 1.N.c	1.5 0.8	ən	0	25
341	Qiang	2sg	2sg	lexicon	un	u n	1	ʂqu-ʂ-un,	difficult-too-2sg	ɑ-zə-ŋuəȵi ʂqu-ʂ-un,	one-little-TOP difficult-too-2sg	631:1:2	7 4	XN	YN	1	1.Y.V 1.N.c	1.5 0.8	un	0	25
342	Qiang	2sg	†(2sg	lexicon	ȵi	ȵ i	1	ȵi	†(2sg	ɦɑ-tsu-ŋuəȵi ȵi ke guo sɑn-jɑn,	INT-here-TOP †(2sg give 1sg three-kind)	768:1:0	4 7	AX	NI	1	1.N.C 1.I.V	2.0 1.5	ȵi	0	24
343	Qiang	2sg	2sg	lexicon	n?	n	1	tə-ʑdʑi-n?”	DIR-sick-2sg	“ȵiɣi tə-ʑdʑi-n?”	what DIR-sick-2sg	824:1:2	4	A	N	1	1.N.C	2.0	n	1	24
344	Qiang	2sg	2sg	lexicon	n122	n	1	ɦa-ʁu-n,122	DIR-throw-2sg	“ha qɑ tshəntitɕhin ȵɑ tshəntɕɑ qɑpə-tɕ ɦɑ sin ŋuə-n-ʂɑ qap ɦa-ʁu-n,122 sin mɑ-ŋuə-n-ʂɑ,	INT 1sg Chen.Diqing COM Chen.family old.man-GEN INT lion COP-2sg-LNK head DIR-throw-2sg lion NEG-COP-2sg-LNK	1051:10:2	4	A	N	1	1.N.C	2.0	n	1	24
90	Qiang	3dl	3dl	lexicon	ȵizzi	ȵ i dz i	1	ȵizzi	3dl	ȵizzi oqpi pə-s,	3dl one:family do-NOM	12:0:0	4 7 2 7	AXBZ	NICI	1	1.N.C 1.I.V 1.C.C 1.I.V	2.0 1.5 1.75 0.8	ȵidzi	0	26
91	Qiang	3dl	3dl	lexicon	thəzzi	tʰ ə dz i	1	thəzzi-tɑ	3dl-LOC	thəzzi-tɑ kə-ji,	3dl-LOC thus-say	27:0:0	1 7 2 7	AXBZ	TECI	1	1.T.C 1.E.V 1.C.C 1.I.V	2.0 1.5 1.75 0.8	tʰədzi	0	26
92	Qiang	3dl	3dl	lexicon	thizzi	tʰ i dz i	7	thizzi	3dl	thizzi kə ʁza-ʁa,	3dl go time-LOC	29:0:0 35:0:0 38:0:0 43:0:0 43:4:0 54:0:0 1194:0:1	1 7 2 7	AXBZ	TICI	1	1.T.C 1.I.V 1.C.C 1.I.V	2.0 1.5 1.75 0.8	tʰidzi	0	26
74	Qiang	3pl	3pl	lexicon	tɕi	tɕ i	4	i-dʐi-tɕi,	DIR-discuss-3pl	mə ȵɑ ɣlu lə-zi i-dʐi-tɕi,	older.brother COM younger.sister DEF-CL DIR-discuss-3pl	8:4:2 369:1:2 1142:0:3 1234:7:1	2 7	AX	CI	1	1.C.C 1.I.V	2.0 1.5	tɕi	0	27
75	Qiang	3pl	3pl	lexicon	themle	tʰ e m l e	3	themle	3pl	ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,	father-god-TOP 3pl China.fir-seed three-bushel DIR-give-HS	30:1:0 36:2:0 49:0:0	1 7 4 5 7	AXBCZ	TEMLE	1	1.T.C 1.E.V 1.M.C 1.L.C 1.E.V	2.0 1.5 1.75 1.5 0.8	tʰemle	0	28
76	Qiang	3pl	3pl	lexicon	tɕə	tɕ ə	1	nə-quɑq-tɕə-i.	DIR-fight-3pl-HS	nə-quɑq-tɕə-i.	DIR-fight-3pl-HS	957:0:2	2 7	AX	CE	1	1.C.C 1.E.V	2.0 1.5	tɕə	0	27
240	Qiang	3plREFL	3plREFL	lexicon	ȵile	ȵ i l e	1	ȵile-steke	3plREFL-behind	ȵile-steke ɑ-stu-χɑn phuxʂu doqu-ʐ-ək tɕetɕi-lɑ du-fu-wei,	3plREFL-behind one-thousand-kind wild.animals frighten-CAUS-INF everywhere-LOC DIR-flee-HS	46:0:0	4 7 5 7	AXBZ	NILE	1	1.N.C 1.I.V 1.L.C 1.E.V	2.0 1.5 1.75 0.8	ȵile	0	29
501	Qiang	3sg	3sg	lexicon	the:	tʰ eː	4	the:-sətsim	3sg-wife	qɑ the:-sətsim hɑ-ŋ̥u̥ə-lɑ,”	1sg 3sg-wife DIR-COP-INDTV:1sg	285:1:0 742:0:0 811:0:0 982:1:0	1 7	AX	TE	1	1.T.C 1.E.V	2.0 1.5	tʰeː	0	30
508	Qiang	3sgREFL	3sgREFL	lexicon	ȵi:	ȵ iː	15	ȵi:-ŋuəȵi	3sgREFL-TOP	ȵi:-ŋuəȵi ɦɑ steke steke ɦe-zei ɦe-zei ɦe-zei-ke: tse:-steke dɑ-qə-kəi-stũ.	3sgREFL-TOP INT behind behind DIR-cry DIR-cry DIR-cry-INDEF:CL this:CL-behind DIR-go-NAR-PART	294:0:0 483:1:0 485:0:0 496:4:0 497:2:0 498:2:0 499:1:0 499:3:0 546:2:0 567:4:0 663:3:0 663:6:0 1101:5:0 1103:1:0 1111:3:0	4 7	AX	NI	1	1.N.C 1.I.V	2.0 1.5	ȵiː	1	31
509	Qiang	3sgREFL	3sgREFL	lexicon	ȵiȵi	ȵ i ȵ i	1	ȵiȵi	3sgREFL	ɦɑ-kə ʂpəthuʂ-ta:-ʁa-ŋuəȵi ȵiȵi hɑ-sə ɦɑ-kə keʴl-kə-ku,	INT-thus bamboo.tube-DEF:one:CL-LOC-TOP 3sgREFL DIR-make.sound INT-thus ask-go-NAR	536:2:0	4 7 4 7	AXBZ	NINI	1	1.N.C 1.I.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	ȵiȵi	0	31
1145	Qiang	ABL	ABL	grammar	wu	w u	11	ʁu-q-tɑ-wu	mountain-head-LOC-ABL	ʁu-q-tɑ-wu ɦo-ɣlu,	mountain-head-LOC-ABL DIR-roll	10:0:3 22:0:2 99:0:2 539:0:2 623:0:2 746:0:2 1067:0:1 1108:1:2 1123:0:1 1179:0:1 1216:0:2	6 7	AX	WY	1	1.W.C 1.Y.V	2.0 1.5	wu	1	32
1123	Qiang	ADV	ADV	grammar	ȵi	ȵ i	194	i-pi-χuɑ-ȵi,	DIR-hide-because-ADV	zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,	cypress-tree one-CL-LOC DIR-hide-because-ADV	5:2:3 7:3:2 9:3:2 17:1:1 31:0:2 36:3:3 39:2:2 41:4:2 43:7:3 44:0:2 47:0:2 50:1:2 52:1:2 54:2:4 56:1:2 65:1:2 76:2:2 80:0:1 83:0:2 87:0:2 92:0:1 99:3:2 99:6:2 102:2:2 115:0:1 122:1:2 132:2:2 141:1:2 143:0:2 147:0:1 158:2:2 162:1:2 176:0:1 200:1:4 211:3:2 237:1:2 256:3:2 257:0:2 268:2:2 301:5:2 304:1:2 305:2:2 353:1:2 375:8:2 375:13:2 376:2:2 377:2:2 379:2:2 379:4:2 392:0:1 396:2:1 397:5:2 407:3:1 441:1:2 451:4:3 460:2:2 460:4:2 461:2:2 463:7:2 464:5:2 470:0:2 476:1:2 478:0:2 483:3:2 483:4:2 483:6:2 493:0:1 499:2:2 518:1:3 524:5:2 526:1:2 528:10:2 533:1:2 533:5:2 535:0:1 546:1:2 546:6:2 552:4:1 552:9:1 561:2:3 567:1:2 567:6:2 570:2:2 571:1:2 581:7:2 584:0:2 585:0:1 588:3:1 615:7:2 616:1:2 620:0:1 632:3:1 637:0:1 638:0:1 640:0:1 659:0:3 675:2:1 676:1:2 677:1:2 682:5:2 695:3:2 695:6:3 696:2:3 698:0:2 704:2:2 706:4:1 713:3:1 714:2:2 715:1:2 716:3:1 717:0:1 728:1:2 729:6:2 739:0:1 755:0:2 756:0:1 757:2:1 759:4:1 760:4:2 770:3:1 783:2:2 790:0:3 792:2:2 792:5:2 801:1:2 803:0:3 819:0:1 822:1:1 825:0:1 826:1:2 839:2:2 845:1:2 846:2:1 859:1:1 874:1:1 899:1:1 908:2:2 908:4:1 909:1:3 913:1:2 916:4:1 928:2:1 929:1:1 933:1:2 996:5:2 1011:1:2 1022:6:2 1036:0:2 1045:4:2 1047:0:2 1047:1:2 1049:4:2 1058:1:1 1062:2:2 1063:1:2 1069:10:2 1097:5:2 1097:7:2 1099:6:2 1102:1:2 1108:0:2 1109:4:2 1111:1:2 1111:6:2 1113:4:2 1116:0:2 1118:0:2 1118:2:2 1121:1:2 1122:3:1 1123:2:1 1124:3:2 1125:2:1 1135:6:1 1152:2:2 1157:2:3 1171:1:1 1171:2:4 1177:0:1 1181:1:2 1192:1:3 1199:3:2 1214:2:1 1222:3:2 1228:1:3 1237:1:2 1238:0:2 1241:1:2 1253:2:2 1264:1:2 1267:4:2 1268:1:2 1274:3:3 1275:3:1	4 7	AX	NI	1	1.N.C 1.I.V	2.0 1.5	ȵi	1	33
1124	Qiang	ADV	ADV	grammar	ȵi104	ȵ i	1	te-x-ȵi104	DIR-cut-ADV	lu te-x-ȵi104 tɕiʁuɑ tə-ɬi,	China.fir DIR-cut-ADV house DIR-build	55:1:2	4 7	AX	NI	1	1.N.C 1.I.V	2.0 1.5	ȵi	1	33
1125	Qiang	ADV	ADV	grammar	tɕi	tɕ i	2	tuetue-ke:-tɕi	driping-INDEF:CL-ADV	sɑ tuetue-ke:-tɕi dɑ-qɑ-jɑntɕi,	blood driping-INDEF:CL-ADV DIR-go-after	235:1:2 256:2:2	2 7	AX	CI	1	1.C.C 1.I.V	2.0 1.5	tɕi	1	35
1126	Qiang	ADV	ADV	grammar	ȵi110	ȵ i	1	de-lde-ȵi110	DIR-spin-ADV	ɦɑlɑ mɑ:-le:-wu ɑ-s-məqɑ-ŋuəȵi ɦɑthɑ ȵiu-ŋuəȵi ɑ-s pɑntɕin-wu pɑntɕin tə-tʂhə-ȵi ɦɑ-tsəi de-lde-ȵi110 ȵiu pɑtʂ de-lde-ȵi ɦɑlɑ,	INT Mama-DEF:CL-AGT one-day-each-TOP INT sheep.wool-TOP one-day half.catty-INST half.catty DIR-weigh-ADV INT-this.manner DIR-spin-ADV sheep.wool ball DIR-spin-ADV INT	375:10:2	4 7	AX	NI	1	1.N.C 1.I.V	2.0 1.5	ȵi	1	33
