ID	ENGLISH	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS	PHRASE	GLOSS
11	COM	65	COM // COM:thus	ȵike // ȵɑ	mə ȵɑ ɣlu jə-tʂ-ŋuəȵi,	older.brother COM younger.sister two-CL-TOP
12	DIR	716	DIR // DIR:INDTV	a // da // de // die // do // du // dɑ // e // ha // he // ho // hɑ // i // ne // nu // nə // o // su // sə // ta: // te // ti // tu // tə // u // zu // zə // ȵi // ɑ // ɑ: // ə // ɦa // ɦe // ɦei // ɦo // ɦɑ	zəp-le: ə-tɕhəqhɑ-ʐ-əi.	earth-DEF:CL DIR-burn-CAUS-HS
13	LOC	204	LOC // head:LOC // where:LOC	lɑ // lə // qəpɑtʂɑ: // tɑ // tɕɑ: // tɕɑl // ʁa // ʁɑ // ʁɑ112 // ʁə	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
14	NOM	95	NOM // NOM:all	m // meʴwu // mə:ʴwu // s // tɕ // əm // əs	steke-tɑ mi peʴʐə-s ŋuə-χuɑ-ȵi,	later-LOC people raise(child)-NOM COP-because-ADV
15	AGT	40	AGT	wu // wu111	χa-le:-wu tə-keʴl-kui-tɕu,	needle-DEF:CL-AGT DIR-ask-NAR-PART
16	PART	81	PART	hɑ // stu // stun // stũ // tɕu // ȵiɑu	kɑpətttʂ kou qe:ʴ-qe:ʴ-tu ɦɑlɑ kɑpətʂ kou ŋuə-kei-tɕu,	orphan INDEF:one:CL before-before-LNK INT orphan INDEF:one:CL COP-NAR-PART
17	GEN	37	GEN	tɕ // tɕə	nai tshəmɑ we-tɕ səɸ-zu xsə-quɑt de-tɕi-le-wei,	other thorn exist-GEN tree-seed three-bushel DIR-CON-give-HS
18	INDEF	70	INDEF // INDEF:CL // INDEF:one // INDEF:one:CL // INDEF:two:CL	ka: // ke // ke: // kou // kɑ // kəzzi	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
19	REP	33	REP // REP:1sg	ja // jə	kɑpətʂ tou gəs-tɑ ɦɑ-xtʂə-pɑ:-jə-tu qu-kəpə-kəi-ʂ,	orphan DEF:one:CL night-LOC DIR-get.dark-become:PRS-REP-LNK ɦe-afraid-HABIT-NAR-LNK
20	CSM	36	CSM // CSM:1sg	i // j // ja // ji // jɑ // jə	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
21	ASP	22	ASP // ASP:1sg // ASP:EVID	jy // jy123 // jya // jyɑ	ɦe-gi-s-tɑ-ŋuəȵi tshəmɑ tə-ʂ-jy ŋuə.	DIR-short-NOM-LOC-TOP thorn DIR-grow-ASP COP
22	AUX	21	AUX	thɑ // thə	ə-qɑ-ȵiɑufu kɑpətʂ-tou nəʂ-ta:-ʁa mo-thɑ-jə-kui,	DIR-go-LNK(as.soon.as) orphan-DEF:one:CL bed-DEF:CL-LOC grope.for-AUX-REP-NAR
23	CAUS	24	CAUS // CAUS:1sg // CAUS:PRS:1pl	ʐ // ʐɑ // ʐɑ:? // ʐə // ʐ̥ə	zəp-le: ə-tɕhəqhɑ-ʐ-əi.	earth-DEF:CL DIR-burn-CAUS-HS
24	ABL	11	ABL	wu	ʁu-q-tɑ-wu ɦo-ɣlu,	mountain-head-LOC-ABL DIR-roll
25	HABIT	10	HABIT	kəpə	zei ɦe-zei-ȵi kə-kəpə-kəi-tɕu,	cry DIR-cry-ADV go-HABIT-NAR-PART
26	EXCL	64	EXCL	a // a! // a: // e! // e:! // ha // ha! // hai // hai! // hi // hi! // hüa // hɑ // ɑ // ɦa // ɦa!	“ha,	EXCL
27	WH	13	WH // WH:one	ȵa // ȵe // ȵi // ȵi:	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
28	DAT	8	DAT	tɑ	tsou tɕymi-lou-tɑ zə-lɑ-kui-tu,	this:one:CL child-DEF:one:CL-DAT DIR-come-NAR-LNK
29	HS	24	HS	i // ji // jə // wei // əi	mutu-lɑ mujuqů ʐguə-zi we-i,	heaven-LOC sun nine-CL exist-HS
30	CON	9	CON	tɕe // tɕi // tɕo	nai tshəmɑ we-tɕ səɸ-zu xsə-quɑt de-tɕi-le-wei,	other thorn exist-GEN tree-seed three-bushel DIR-CON-give-HS
31	INDTV	17	DIR:INDTV // INDTV // INDTV:1sg	a: // lɑ // ta: // tɑ: // ɑ: // ɕa: // ɕɑ:	ʔũ-gul i-jə-lɑ-wɑ,”	2sg-companion DIR-live-INDTV:1sg-EMPH
32	HORT	6	HORT	ʂɑ	ɦɑ-thu-ŋuəȵi ɕi-la: ataʐ-ʂɑ,	INT-there-TOP little-DEF:one:CL fast-HORT
33	PRS	37	1sg:PRS // CAUS:PRS:1pl // INF:PRS // PRS // PRS:1pl // beat.to.death:PRS // become:PRS // buy:PRS // come:PRS // cross:PRS // do:PRS // eat:PRS // exist:PRS // get.dark:PRS // go:PRS // go:PRS:1sg // kill:PRS	dzɑ: // ka: // kɑ: // lɑ: // pɑ: // qəta: // qətia: // xtʂəpɑ: // ɑ: // ɑ:ʴ // ʐa: // ʐɑ:? // χɬɑ:	mutsitʂu ȵɑ tugantʂu mutsitʂu ȵɑ tugantʂu zəpəq-tɑ ɦo-lu-ɑ:-ji.	Mutsitʂu COM Tugantʂu Mutsitʂu COM Tugantʂu earth-LOC DIR-come-PRS-CSM
34	NEG	95	NEG	ma // me // mo // mu // mɑ // mə	ɦo-mu-xtɕu-wei.	DIR-NEG-burn-HS
35	INST	2	INST	wu	duɑʁl-le:-wu sə-xte-ȵi tɕetɕi-lɑ da-ʁů.	scythe-DEF:CL-INST DIR-chop-LNK everywhere-LOC DIR-throw(away)
36	EXC	10	EXC	ji // jə // tɕi	ɦɑ “qɑ tɕəu-lɑ ou-tɕi me-ʐa-wɑ,	INT 1sg home-LOC one:CL-EXC NEG-exist:1sg-EMPH
37	VIS	9	VIS // VIS:1sg	u // w // wu // ŋuɑ121	kaijuɑn-ʁɑ ʂpə we-wu-ʂə,	†street.edge-LOC bamboo exist-VIS-LNK
38	EVID	2	ASP:EVID	jy	tɕile-ɑpə lə tse-ze jɑpəq-tɑ die-ʂe-jy,	1pl-grandfather also this-CL hand-LOC DIR-die-ASP:EVID
39	DTV	26	DTV	bɑ // pɑ // wɑ // ʂu	“ʔile gue:ʴ-tɑ-ŋuəȵi hɑ-l-ȵi mutu-lɑ tɕe-tse-ʂu.”	2pl road-LOC-TOP DIR-look-ADV heaven-LOC NEG.IMP-look-DTV
40	INF	20	INF // INF:PRS	k // ka: // kɑ: // kə // kə: // x // ək	ȵile-steke ɑ-stu-χɑn phuxʂu doqu-ʐ-ək tɕetɕi-lɑ du-fu-wei,	3plREFL-behind one-thousand-kind wild.animals frighten-CAUS-INF everywhere-LOC DIR-flee-HS
41	Q	24	Q	tɕi? // wɑ // wɑ105 // wɑ? // ŋuɑ // ŋuɑ? // ŋuəi? // ɑ?	ȵi:-pe-wɑ,105 ȵi:-pe-wɑ,”	WH-become-Q WH-become-Q
42	REDUP	2	exist:REDUP:all	ʂəʂe:ʴwu // ʂəʂə:ʴwu	jɑnkhui ʂəʂə:ʴwu i-pə-l-kui-tɕu.	stone.mortar exist:REDUP:all DIR-arrive-come-NAR-PART
43	BEN	1	BEN	tɕ	ɦɑ-tu mɑ:-le:-tɕ-ŋuəȵi χaiʂə ɕi-ŋuəȵi χaiʂə ɦɑ-tsəi pɑntɕin lie-kəpə-kui-wɑ.	INT-RESULT mama-DEF:CL-BEN-TOP †(still.is) wine-TOP †(still.is) INT-this.manner half.catty carry-HABIT-NAR-EMPH
44	IMP	1	IMP	nɑ	“ɑ-ʂ tse-n-nɑ-ʂ,	one-time look-2sg-IMP-LNK
45	COMP	1	COMP	s	“a tsə-s ɑz-ŋuəȵi ɕi-lɑ: ataʐ-ȵi u-ʐmu ȵɑ u-tɕu-s-le: ə-mə-s xu-tu,	EXCL this-COMP one:CL-TOP small-DEF:CL fast-ADV DIR-dream COM DIR-see-NOM-DEF:CL DIR-hear-NOM exist-LNK
46	DVT	2	DVT	pɑ // wɑ	ʔũ tɕɑ-tɕhi-n-pɑ,”	2sg NEG.IMP-drink-2sg-DVT
